32,4.4808e-06,0.000400394,,
64,5.6088e-06,0.000245944,,
128,1.05958e-05,0.000277872,,
256,2.07086e-05,0.000292594,,
512,4.15122e-05,0.000322272,,
1024,8.1882e-05,0.000387023,,
2048,0.000153429,0.000581661,,
4096,0.000316775,0.000899152,,
8192,0.000623059,0.00155781,,
16384,0.0012429,0.00274381,,
32768,0.00244409,0.00520858,,
65536,0.00488099,0.0101435,,
131072,0.00990902,0.0200377,,
262144,0.0196677,0.0397835,,
524288,0.0390604,0.0794507,,
1.04858e+06,0.0780826,0.157476,,
2.09715e+06,0.156447,0.315038,,
4.1943e+06,0.312531,0.628876,,
8.38861e+06,0.624509,1.25734,,
1.67772e+07,1.24927,2.51172,,
3.35544e+07,2.4986,5.02293,,
6.71089e+07,4.99865,10.0432,,
1.34218e+08,9.99597,20.089,,
2.68435e+08,19.9952,40.1747,,
5.36871e+08,39.9803,80.4028,,
1.07374e+09,79.9837,160.754,,
